processo,data,vara,nucleo,prioridades
0000192-16.2025.8.17.2100,23/04/2026,1ª Vara Cível da Comarca de Abreu e Lima,5ª CC,Sem prioridade
0000227-54.2017.8.17.2100,14/04/2026,1ª Vara Cível da Comarca de Abreu e Lima,4ª CCJ,Sem prioridade
0000298-13.2015.8.17.0100,29/04/2026,1ª Vara Cível da Comarca de Abreu e Lima,5ª CC,Sem prioridade
0000319-90.2021.8.17.2100,15/04/2026,1ª Vara Cível da Comarca de Abreu e Lima,4ª CCJ,Prioridade Legal
0000579-36.2022.8.17.2100,29/04/2026,1ª Vara Cível da Comarca de Abreu e Lima,5ª CC,Prioridade Legal
0001095-95.2018.8.17.2100,22/04/2026,1ª Vara Cível da Comarca de Abreu e Lima,4ª CCJ,Prioridade Legal
0001176-73.2020.8.17.2100,13/04/2026,1ª Vara Cível da Comarca de Abreu e Lima,4ª CCJ,Sem prioridade
0001529-74.2024.8.17.2100,27/04/2026,1ª Vara Cível da Comarca de Abreu e Lima,5ª CC,Prioridade Legal
0001541-54.2025.8.17.2100,29/04/2026,1ª Vara Cível da Comarca de Abreu e Lima,5ª CC,Prioridade Legal
0001583-16.2019.8.17.2100,16/04/2026,1ª Vara Cível da Comarca de Abreu e Lima,5ª CC,Prioridade Legal
0001736-78.2021.8.17.2100,17/04/2026,1ª Vara Cível da Comarca de Abreu e Lima,5ª CC,Prioridade Legal
0002515-91.2025.8.17.2100,20/04/2026,1ª Vara Cível da Comarca de Abreu e Lima,5ª CC,Prioridade Legal
0002787-56.2023.8.17.2100,20/04/2026,1ª Vara Cível da Comarca de Abreu e Lima,5ª CC,Prioridade Legal
0002923-19.2024.8.17.2100,29/04/2026,1ª Vara Cível da Comarca de Abreu e Lima,5ª CC,Prioridade Legal
0002989-62.2025.8.17.2100,22/04/2026,1ª Vara Cível da Comarca de Abreu e Lima,5ª CC,Prioridade Legal
